Ticket created - Month,Ticket ID,Tickets,service_tags_json,product_tags_json,company_name,segment,industry_bucket,country_of_residence
August,228918,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""unclear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Customer reported a wrong criminal check package assignment; support replied but issue remained unresolved and was escalated for account/price discussion."",""conversation_summary"":""Customer (Abhishek) says Sanjit was assigned a Global criminal check but should have had an India check and asks if it can be changed and if they’ll be charged. The bot asked if the check was processed; an auto-response/out-of-office message was sent. Customer confirmed the check is pending (awaiting candidate). Agent later offered to connect them with the account manager to discuss packages and r""}","{""primary_checks"":[""criminal_check""],""check_sub_items"":[""criminal_general_issue""],""platform"":[""auto_response""],""reasoning"":""Issue is about switching a criminal check from Global to India and potential charges; check is pending. Auto-response occurred and agent suggested account manager for repricing.""}",Redpin,grow,finance,
August,228926,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively informed recipient that the application was resubmitted and to check the authority email for a certificate link."",""conversation_summary"":""Delivery Support emailed to confirm they resubmitted a candidate’s application after a customer note and instructed the candidate to check for a new email from the issuing authority with a link (valid 72 hours) to obtain their certificate.""}","{""primary_checks"":[],""check_sub_items"":[],""platform"":[],""reasoning"":""The message confirms a resubmission but does not specify which verification check or authority, so no specific primary_check tags can be applied.""}",,,food___beverages,
August,228980,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Agent processed an Adult First DBS request, reported the DBS is at stage 4, and explained they cannot chase until 60 days have passed."",""conversation_summary"":""Agent apologised, actioned an Adult First DBS request, noted Gary’s DBS has been at stage 4 since 02.07, and informed Kate they cannot chase the check until it exceeds 60 days.""}","{""primary_checks"":[""criminal_check""],""check_sub_items"":[""adult_first"",""dbs_query""],""platform"":[],""reasoning"":""This is a DBS (criminal) check: agent confirms an Adult First request was actioned and provides status, advising no chase until 60 days.""}",Glassmoon Services Ltd,autonomous,professional_services,
August,228983,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""unclear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Agent requested detailed role description and barred-list needs for an Enhanced DBS and resent the same request; awaiting client confirmation."",""conversation_summary"":""Support submitted an Enhanced DBS for Susan Strange and asked the requester to confirm the candidate's role details and whether Adult and/or Children's barred lists are required (and what regulated activity applies). The team resent the same request later; no client reply yet, so the check remains pending additional info.""}",,,,,
August,229101,1.00000000000000000000,"{""user"":""anonymous_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""unclear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Referee submitted a PDF reference but was asked for more standard details; support requested clarification and resubmission."",""conversation_summary"":""Referee emailed an academic PDF reference and later confirmed submission. Support replied that the reference has issues and asked for a standard reference including start/end dates and role or to use the provided portal link; matter awaits updated information from the referee.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[""reference_pdf_or_docx_reference_attached"",""academic_reference"",""reference_additional_information_required"",""already_provided""],""platform"":[],""reasoning"":""Referee provided an academic PDF (attached) and said they already responded; support requested additional standard reference details (dates and role) or use the portal link.""}",,,education___e-learning,
August,229118,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively requested a reference from HR via email; no candidate issues or agent apologies."",""conversation_summary"":""Support emailed HR requesting a reference for Biljana Biki, included a link and allowed submission in a preferred format, explained visibility (shared with candidate and employer unless marked private) and offered contact for questions.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[],""platform"":[],""reasoning"":""The message is a request for an employment reference; no referee response or other check issues are present.""}",,,,
August,229197,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Agent reached out to request the candidate's professional licence name so the qualification check can proceed."",""conversation_summary"":""Support contacted the candidate on behalf of Ideagen requesting the name of their professional licence to progress the qualification check; no response from candidate in this thread.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent explicitly requests additional information (professional licence name) to proceed with the qualification check.""}",Ideagen,,,
August,229274,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""education__e-learning"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Agent proactively asked the candidate for specific diploma details to progress a qualification check."",""conversation_summary"":""Agent emailed Marwa requesting the exact type of diploma and asked her to reply with the document attached so the qualification check can proceed. Agent offered further assistance if needed.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent explicitly requested the diploma type and attachment to continue the education/qualification check.""}",Ark,,,
August,229302,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""proactive_outreach""],""tone"":[""engaging""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Recruiter asked support to chase a referee about non-reemployment and to order child & adult DBS; agent confirmed they'll follow up and requested missing candidate email."",""conversation_summary"":""Web user (recruiter) asked if a referee had replied about not re‑employing Joanna Hicks. Agent said they would send a follow‑up. The user also requested child & adult DBS orders for Joanna and Naomi; agent confirmed and asked for Naomi's email to locate the candidate.""}","{""primary_checks"":[""reference_check"",""criminal_check""],""check_sub_items"":[""reference_ask_to_chase_referee""],""platform"":[],""reasoning"":""Conversation focuses on chasing a referee for more info (reference_check) and ordering DBS (criminal_check); agent also requested Naomi's email to proceed.""}",,creme,medical___care,
August,229388,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""education__e-learning"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Support proactively requested a signed paper form to continue the candidate's qualification check."",""conversation_summary"":""Zinc Support emailed the candidate to request a printed, completed and signed form (attached) so the qualification check can proceed, and asked them to reply with the document if they have questions.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent requested the candidate complete and return a signed institution form to continue the qualification (education) check.""}",Loveday & Co,,,
